date,time,holiday,na_entry,days,weekday,CAT 1,CAT 2,CAT 3,CAT 4,North Bound,South Bound,Ayala Avenue,Ayala Avenue - Ayala Avenue,Ayala Avenue - Buendia,Ayala Avenue - Magallanes,Boni Avenue,Boni Avenue - Guadalupe,Boni Avenue - Shaw Boulevard,Buendia,Buendia - Ayala Avenue,Buendia - Guadalupe,Cubao,Cubao - GMA Kamuning,Cubao - Santolan Anapolis,GMA Kamuning,GMA Kamuning - Cubao,GMA Kamuning - Quezon Avenue,Guadalupe,Guadalupe - Boni Avenue,Magallanes,Magallanes - Ayala Avenue,Magallanes - Taft Avenue,North Avenue,North Avenue - Quezon Avenue,North Avenue - Santolan Anapolis,North Avenue - Shaw Boulevard,North Avenue - Taft Avenue,Ortigas,Ortigas - Santolan Anapolis,Ortigas - Shaw Boulevard,Quezon Avenue,Quezon Avenue - GMA Kamuning,Quezon Avenue - North Avenue,Quezon Avenue - Santolan Anapolis,Santolan Anapolis,Santolan Anapolis - Cubao,Santolan Anapolis - Ortigas,Shaw Boulevard,Shaw Boulevard - Boni Avenue,Shaw Boulevard - Taft Avenue,Taft Avenue - Magallanes
2017/01/04,16,0,2849,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/01/04,17,0,3232,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/01/04,18,0,3237,4,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/01/04,19,0,3606,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/01/04,20,0,3380,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/01/04,21,0,2469,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/01/04,22,0,18,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/01/05,5,0,4501,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/01/05,6,0,7853,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017/01/05,7,0,9228,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
